,School Name,Spent Per Student,Student enrollment,Amount needed to reach 100% Fair Student Funding,Percent of Fair Student Funding
1463,Talent Unlimited High School,"$21,037",478,"$635,401",90%
1464,Teachers College Community School,"$20,228",310,"$60,353",98%
1465,Teachers Preparatory High School,"$35,035",162,"$260,537",90%
1466,The 30th Avenue School (G&T Citywide),"$16,556",560,$0,100%
1467,The 47 American Sign Language & English Lower School,"$46,534",163,N/A,
1468,The Academy for Excellence through the Arts,"$22,394",188,"$94,525",94%
1469,The Academy of Talented Scholars,"$35,978",386,$0,101%
1470,The Academy of Urban Planning and Engineering,"$30,452",198,$0,100%
1471,The Active Learning Elementary School,"$20,809",417,"$463,350",90%
1472,The Anderson School,"$16,611",524,"$456,028",90%
1473,The Angelo Patri Middle School,"$28,384",540,$0,100%
1474,The Barbara Esselborn School,"$22,886",760,"$737,089",90%
1475,The Bellaire School,"$21,684",880,"$910,754",90%
1476,The Bilingual Bicultural School,"$26,737",309,"$403,536",90%
1477,The Boerum Hill School for International Studies,"$20,077",694,"$590,910",92%
1478,The Bronx Mathematics Preparatory School,"$31,635",242,$0,100%
1479,The Bronx School of Young Leaders,"$25,885",451,$0,100%
1480,The Bronxwood Preparatory Academy,"$21,469",396,"$502,536",90%
1481,The Brooklyn Academy of Global Finance,"$30,758",111,$0,100%
1482,"The Brooklyn New School, P.S. 146","$24,929",640,"$726,529",90%
1483,The Brooklyn School for Math and Research,"$22,036",281,$0,100%
1484,The Brooklyn School for Social Justice,"$26,522",339,$0,100%
1485,The Children's Lab School,"$22,890",398,$0,100%
1486,The Children's School,"$28,286",227,N/A,
1487,The Children's Workshop School,"$23,439",313,"$83,164",97%
1488,The Christa McAuliffe School\I.S. 187,"$20,075",925,$0,104%
1489,The Cinema School,"$21,195",284,"$89,865",97%
1490,The College Academy,"$23,997",437,"$594,981",90%
1491,The Dr. Emmett W. Bassett School,"$23,140",759,"$812,956",90%
1492,The Eagle Academy for Young Men of Staten Island,"$24,905",282,$0,100%
1493,The East Village Community School,"$22,229",287,$0,101%
1494,The Emerson School,"$23,183",371,$0,100%
1495,The Family School,"$23,460",529,"$222,110",96%
1496,The Fresh Creek School,"$26,625",173,"$45,405",98%
1497,The Global Learning Collaborative,"$22,380",419,"$358,562",92%
1498,The Gordon Parks School,"$19,627",741,"$241,885",97%
1499,"The Gregory Jocko Jackson School of Sports, Art, and Technology","$29,958",267,$0,100%
1500,The Harbor View School,"$23,263",275,$0,100%
1501,"The High School for Enterprise, Business and Technology","$21,545",821,"$998,009",90%
1502,The High School for Global Citizenship,"$25,822",184,"$211,475",90%
1503,The High School for Language and Diplomacy,"$22,416",258,"$219,759",92%
1504,The High School of Fashion Industries,"$20,220",1536,"$1,745,837",90%
1505,The Highbridge Green School,"$25,762",366,$0,100%
1506,The Hunts Point School,"$29,718",320,$0,100%
1507,The James J. Ambrose School,"$19,286",681,"$281,959",96%
1508,The Jermaine L. Green STEM Institute of Queens,"$21,685",563,"$86,186",99%
1509,The Judith S. Kaye High School,"$43,283",75,$0,100%
1510,The Kathleen Grimm School for Leadership and Sustainability,"$23,296",254,$2,100%
