,School Name,Spent Per Student,Student enrollment,Amount needed to reach 100% Fair Student Funding,Percent of Fair Student Funding
153,Channel View School for Research,"$22,936",953,"$919,518",90%
154,Chelsea Career and Technical Education High School,"$25,178",431,"$549,962",90%
155,Christopher Avenue Community School,"$25,932",245,"$52,157",98%
156,City College Academy of the Arts,"$19,521",593,"$625,108",90%
157,City Knoll Middle School,"$24,178",236,$0,100%
158,"City Polytechnic High School of Engineering, Architecture, and Technology","$21,419",427,"$509,259",90%
159,Civic Leadership Academy,"$19,970",553,"$599,324",90%
160,Clara Barton High School,"$23,977",1176,"$1,520,843",90%
161,Claremont International HS,"$22,401",371,$0,100%
162,Cobble Hill School of American Studies,"$23,745",552,"$640,697",90%
163,Collaborative Arts Middle School,"$24,396",307,"$71,329",98%
164,Collegiate Institute for Math and Science,"$19,326",607,"$619,953",90%
165,Columbia Secondary School,"$19,327",722,"$595,738",92%
166,Community Action School - MS 258,"$24,276",245,"$287,295",90%
167,Community Health Academy of the Heights,"$21,182",688,"$839,373",90%
168,Community Math & Science Prep,"$32,086",220,"$305,512",91%
169,Community School for Social Justice,"$23,854",322,"$426,933",90%
170,Community Voices Middle School,"$24,027",301,"$78,479",98%
171,Comprehensive Model School Project M.S. 327,"$20,971",717,"$781,716",90%
172,Concord High School,"$26,815",168,"$23,569",99%
173,Concourse Village Elementary School,"$23,696",361,$0,100%
174,Conselyea Preparatory School,"$20,694",487,"$525,955",90%
175,Cornerstone Academy for Social Action,"$26,248",343,"$366,267",90%
176,47 The American Sign Language and English Secondary School,"$29,476",199,N/A,
177,Corona Arts & Sciences Academy,"$21,427",774,$0,100%
178,Creston Academy,"$24,747",454,"$266,437",96%
179,Crotona International High School,"$24,461",328,"$74,479",98%
180,CSI High School for International Studies,"$20,303",497,"$419,441",91%
181,Cultural Academy for the Arts and Sciences,"$23,361",318,"$288,523",92%
182,Curtis High School,"$19,782",2590,"$2,967,876",90%
183,Cynthia Jenkins School,"$23,598",358,"$375,094",90%
184,Cypress Hills Collegiate Preparatory School,"$26,600",270,$0,100%
185,Dewitt Clinton Campus YABC,"$16,342",125,N/A,
186,Dewitt Clinton High School,"$26,214",1011,$0,100%
187,Digital Arts and Cinema Technology High School,"$25,997",243,"$275,799",90%
188,Discovery High School,"$24,341",417,"$567,283",90%
189,Dock Street School for STEAM Studies,"$24,936",262,"$185,147",93%
190,Dos Puentes Elementary School,"$23,443",416,$0,100%
191,Downtown Brooklyn YABC,"$12,305",225,N/A,
192,Dr. Jacqueline Peek-Davis School,"$26,606",275,$0,106%
193,Dr. Susan S. McKinney Secondary School of the Arts,"$26,901",349,"$474,099",90%
194,Dreamyard Preparatory School,"$25,732",259,$0,100%
195,E.S.M.T- I.S. 190,"$24,759",236,"$285,591",90%
196,Eagle Academy for Young Men,"$22,710",513,"$616,720",90%
197,Eagle Academy for Young Men II,"$20,929",646,"$620,330",92%
198,Eagle Academy for Young Men III,"$21,302",575,"$37,152",99%
199,Eagle Academy for Young Men of Harlem,"$22,985",392,$0,100%
200,Earth School,"$23,122",340,"$375,090",90%
201,East Bronx Academy for the Future,"$24,638",677,$0,100%
202,East Brooklyn Community High School,"$28,541",194,$0,100%
203,East Elmhurst Community School,"$21,822",440,$0,100%
204,East Flatbush Community Research School,"$28,830",227,$0,100%
205,East Fordham Academy for the Arts,"$25,545",291,"$327,125",91%
206,East New York Elementary School of Excellence,"$24,120",509,"$391,197",93%
207,East New York Family Academy,"$22,842",501,"$258,178",96%
208,East New York Middle School of Excellence,"$25,333",271,"$193,550",95%
209,East Side Community School,"$21,194",680,"$787,437",90%
210,"East Side Elementary School, PS 267","$20,550",419,$0,101%
211,East Side Middle School,"$19,315",447,"$469,782",90%
212,East Williamsburg Scholars Academy,"$26,685",263,"$358,585",90%
213,East-West School of International Studies,"$23,501",647,"$610,072",90%
214,Ebbets Field Middle School,"$34,814",152,$2,100%
215,EBC High School for Public Service - Bushwick,"$23,747",487,"$623,087",90%
216,Edward A. Reynolds West Side High School,"$25,985",472,"$293,700",96%
217,Edward R. Murrow High School,"$19,890",3667,"$3,866,453",90%
218,El Puente Academy for Peace and Justice,"$26,312",217,$0,103%
219,Eleanor Roosevelt High School,"$19,278",542,$0,107%
220,"Elementary School for Math, Science, and Technology","$23,118",256,"$186,613",93%
221,Elijah Stroud Middle School,"$29,023",146,"$200,294",90%
222,Ella Baker School,"$24,327",273,$0,110%
223,Elm Tree Elementary School,"$21,129",449,$0,100%
224,Emma Lazarus High School,"$22,745",300,"$413,005",90%
225,Emolior Academy,"$25,009",260,"$348,829",90%
226,Energy Tech High School,"$21,067",549,$0,100%
227,47 The American Sign Language and English Secondary School,"$29,476",199,N/A,
228,Epic High School - North,"$20,017",405,$0,100%
229,Epic High School - South,"$21,055",399,$5,100%
230,Erasmus YABC,"$12,351",210,N/A,
231,Esperanza Preparatory Academy,"$27,581",548,"$163,263",98%
232,Essex Street Academy,"$22,838",327,"$327,809",92%
233,Evergreen Middle School for Urban Exploration,"$24,978",345,$0,100%
234,Excelsior Preparatory High School,"$19,737",456,"$515,215",90%
235,Eximius College Preparatory Academy: A College Board School,"$22,174",419,"$515,558",90%
236,Expeditionary Learning School for Community Leaders,"$22,446",359,"$363,436",92%
237,Explorations Academy H.S.,"$23,173",324,"$418,651",90%
238,"Facing History School, The","$24,462",352,"$417,116",91%
239,Fairmont Neighborhood School,"$28,861",293,$0,100%
240,Fannie Lou Hamer Freedom High School,"$24,853",449,"$587,014",90%
241,Fannie Lou Hamer Middle School,"$27,038",286,$0,100%
242,FDNY - Captain Vernon A. Richard High School for Fire and Life Safety,"$24,006",296,"$386,648",90%
243,Fiorello H. LaGuardia High School of Music & Art and Performing Arts,"$17,444",2808,"$2,589,091",91%
244,Flushing High School,"$23,849",1538,$0,100%
245,Flushing International High School,"$21,375",429,"$545,837",90%
246,Flushing YABC,"$11,108",280,N/A,
247,Food and Finance High School,"$23,258",368,"$487,357",90%
248,Fordham High School for the Arts,"$23,842",355,$0,100%
249,Fordham Leadership Academy,"$28,289",335,$0,103%
250,Forest Hills High School,"$18,281",3628,"$3,808,745",90%
251,Forsyth Satellite Academy,"$24,844",194,"$315,742",90%
252,Fort Greene Preparatory Academy,"$29,737",184,"$43,404",98%
253,Fort Hamilton High School,"$18,699",4642,"$4,911,572",90%
254,Fort Hill Collaborative Elementary School,"$28,952",179,$0,100%
255,Francis Lewis High School,"$18,133",4510,"$4,543,683",90%
256,Frank McCourt High School,"$18,570",418,$0,102%
257,Frank Sinatra School of the Arts High School,"$19,928",834,"$1,064,838",90%
258,Franklin Delano Roosevelt High School,"$21,366",2935,"$3,393,385",90%
259,Franklin Delano Roosevelt YABC,"$12,109",223,N/A,
260,Franklin K. Lane Campus YABC,"$12,692",211,N/A,
261,Frederick Douglass Academy,"$19,401",1349,"$840,660",94%
262,Frederick Douglass Academy II Secondary School,"$23,455",347,"$451,344",90%
263,Frederick Douglass Academy III Secondary School,"$22,672",414,"$532,764",90%
264,Frederick Douglass Academy V. Middle School,"$25,631",210,"$275,463",90%
265,Frederick Douglass Academy VI High School,"$25,803",334,"$416,434",90%
266,Frederick Douglass Academy VII High School,"$30,861",134,"$182,368",90%
267,Frederick Douglass Academy VIII Middle School,"$21,842",346,"$200,322",95%
268,Gaynor McCown Expeditionary Learning School,"$22,792",436,"$472,607",90%
269,George Washington Carver High School for the Sciences,"$22,146",431,"$471,627",90%
270,George Washington YABC,"$12,152",221,N/A,
271,George Westinghouse Career and Technical Education High School,"$23,712",802,"$257,981",97%
272,Goldie Maple Academy,"$21,121",363,"$328,650",90%
273,Gotham Collaborative High School,"$27,245",511,"$410,209",94%
274,Gotham Professional Arts Academy,"$29,686",146,"$206,508",90%
275,Gramercy Arts High School,"$20,064",456,"$404,055",92%
276,Grant Avenue Elementary School,"$25,577",415,"$314,998",94%
277,Gregorio Luperon High School for Science and Mathematics,"$21,216",521,"$660,701",90%
278,Grover Cleveland High School,"$21,416",1693,"$1,975,274",90%
279,"H.E.R.O. High (Health, Education, and Research Occupations High School)","$24,192",476,$0,100%
280,Hamilton Grange Middle School,"$23,526",300,$0,100%
281,Hamilton Heights School,"$30,507",132,"$141,253",90%
282,Harbor Heights,"$27,713",123,"$174,279",90%
283,Harlem Renaissance High School,"$29,986",211,"$316,543",90%
284,Harry S Truman High School,"$21,312",1968,"$2,316,759",90%
285,Harvest Collegiate High School,"$22,656",478,$0,100%
286,Harvey Milk High School,"$41,191",63,$0,107%
287,Hawtree Creek Middle School,"$21,145",362,$0,100%
288,Health Opportunities High School,"$22,929",484,"$613,353",90%
289,Herbert H. Lehman High School,"$30,442",654,$0,100%
290,Herbert H. Lehman YABC,"$11,563",253,N/A,
291,"Heritage School, The","$23,148",281,"$360,305",90%
292,High School for Arts and Business,"$19,981",793,"$856,734",90%
293,High School for Civil Rights,"$27,242",206,"$285,935",90%
294,High School for Community Leadership,"$20,096",473,$0,102%
295,"High School for Construction Trades, Engineering and Architecture","$19,819",1038,"$845,821",93%
296,High School for Contemporary Arts,"$23,413",433,"$539,874",90%
297,High School for Dual Language and Asian Studies,"$19,714",394,$0,112%
298,High School for Energy and Technology,"$24,156",405,$0,100%
299,High School for Environmental Studies,"$19,374",1135,"$1,245,021",90%
300,High School for Excellence and Innovation,"$30,643",170,$3,100%
301,High School for Health Careers and Sciences,"$27,216",445,$0,100%
302,High School for Health Professions and Human Services,"$18,158",1817,"$1,847,858",90%
303,High School for Innovation in Advertising and Media,"$26,338",230,"$268,824",91%
304,High School for Law and Public Service,"$25,711",486,"$656,029",90%
305,High School for Law Enforcement and Public Safety,"$21,743",462,"$564,402",90%
306,"High School for Law, Advocacy and Community Justice","$23,503",432,$0,106%
307,"High School for Mathematics, Science and Engineering at City College","$21,253",512,$0,121%
308,High School for Media and Communications,"$25,119",392,$0,100%
309,High School for Medical Professions,"$21,504",413,"$442,445",90%
310,High School for Public Service: Heroes of Tomorrow,"$21,968",437,"$424,914",90%
311,High School for Service & Learning at Erasmus,"$22,924",327,"$376,776",90%
312,High School for Teaching and the Professions,"$27,054",403,$0,100%
313,High School for Violin and Dance,"$25,030",230,"$321,633",90%
314,High School for Youth and Community Development at Erasmus,"$22,826",484,"$590,412",90%
315,High School M560 - City As School,"$23,521",551,$0,106%
316,High School of American Studies at Lehman College,"$19,810",409,$0,114%
317,High School of Applied Communication,"$20,242",414,"$465,027",90%
318,High School of Arts and Technology,"$24,342",458,"$566,645",90%
319,High School of Computers and Technology,"$22,944",570,"$786,044",90%
320,High School of Economics and Finance,"$20,426",719,"$798,514",90%
321,High School of Hospitality Management,"$22,224",374,"$436,683",90%
322,High School of Language and Innovation,"$25,503",372,"$77,556",98%
323,High School of Sports Management,"$25,083",218,"$276,664",90%
324,High School of Telecommunication Arts and Technology,"$22,404",1273,"$1,369,634",90%
325,High School of World Cultures,"$22,675",433,"$566,447",90%
326,Highland Park Community School,"$21,857",341,$0,100%
327,Hillcrest High School,"$19,015",3219,"$3,485,625",90%
328,Hillside Arts & Letters Academy,"$22,215",428,$0,100%
329,Home Instruction,"$184,540",280,N/A,
330,Hospital Schools,"$121,382",133,N/A,
331,Hostos-Lincoln Academy of Science,"$22,266",506,"$566,317",90%
332,HS Arts & Business YABC,"$12,030",239,N/A,
333,Hudson High School of Learning Technologies,"$23,660",461,$0,100%
334,Humanities & Arts Magnet High School,"$21,294",421,"$231,021",95%
335,Humanities Preparatory Academy,"$23,372",233,$0,104%
336,Hunters Point Community Middle School,"$21,522",429,$0,100%
337,I. S. 381,"$26,370",214,$0,106%
338,I.S. 007 Elias Bernstein,"$20,573",1171,"$1,250,379",90%
339,I.S. 010 Horace Greeley,"$21,600",768,"$910,068",90%
340,I.S. 024 Myra S. Barnes,"$24,768",1323,"$1,485,286",90%
341,I.S. 025 Adrien Block,"$18,826",1076,"$1,024,183",91%
342,I.S. 027 Anning S. Prall,"$22,453",1009,"$1,212,134",90%
343,I.S. 034 Tottenville,"$22,258",1065,"$1,296,006",90%
344,I.S. 051 Edwin Markham,"$23,152",1303,"$1,685,229",90%
345,I.S. 059 Springfield Gardens,"$21,943",575,"$655,005",90%
346,I.S. 061 Leonardo Da Vinci,"$21,827",2277,"$2,967,191",90%
347,I.S. 061 William A Morris,"$23,919",977,"$1,276,550",90%
348,I.S. 068 Isaac Bildersee,"$30,417",284,"$389,328",90%
349,I.S. 072 Rocco Laurie,"$22,924",1500,"$1,569,737",90%
350,I.S. 075 Frank D. Paulo,"$25,128",1380,"$1,433,219",91%
351,I.S. 077,"$23,421",992,"$1,291,270",90%
352,I.S. 093 Ridgewood,"$21,919",1110,"$1,360,841",90%
353,I.S. 096 Seth Low,"$28,071",795,$0,100%
354,I.S. 117 Joseph H. Wade,"$30,638",498,$0,100%
355,I.S. 119 The Glendale,"$17,670",1299,"$1,216,251",90%
356,I.S. 125 Thom J. McCann Woodside,"$19,969",1510,"$1,697,684",90%
357,I.S. 136 Charles O. Dewey,"$26,625",480,"$578,579",91%
358,I.S. 141 The Steinway,"$18,702",1150,"$1,192,632",90%
359,I.S. 145 Joseph Pulitzer,"$20,913",1652,"$1,934,461",90%
360,I.S. 171 Abraham Lincoln,"$24,525",437,"$547,916",90%
361,I.S. 181 Pablo Casals,"$21,809",898,"$869,540",92%
362,I.S. 192 The Linden,"$22,361",519,"$606,622",90%
363,I.S. 204 Oliver W. Holmes,"$25,071",490,"$604,640",90%
364,I.S. 206 Ann Mersereau,"$27,591",232,"$312,334",90%
365,I.S. 211 John Wilson,"$26,070",481,"$599,549",90%
366,I.S. 219 New Venture School,"$30,663",374,$0,100%
367,I.S. 227 Louis Armstrong,"$19,766",1571,"$1,592,648",90%
368,I.S. 228 David A. Boody,"$20,498",1359,"$1,495,510",90%
369,I.S. 229 Roland Patterson,"$34,297",261,$0,133%
370,I.S. 230,"$19,782",1291,"$1,411,549",90%
371,I.S. 232,"$23,824",494,"$681,095",90%
372,I.S. 237,"$20,225",1381,"$1,517,720",90%
373,I.S. 238 - Susan B. Anthony Academy,"$21,032",1282,"$1,461,933",90%
374,I.S. 250 The Robert F. Kennedy Community Middle School,"$22,380",380,"$453,266",90%
375,I.S. 254,"$24,587",501,"$692,358",90%
376,I.S. 281 Joseph B Cavallaro,"$20,921",1343,"$1,580,753",90%
377,I.S. 285 Meyer Levin,"$22,616",697,"$820,631",90%
378,I.S. 289,"$20,075",287,"$305,127",90%
379,I.S. 303 Herbert S. Eisenberg,"$21,634",536,"$608,532",90%
380,I.S. 313 School of Leadership Development,"$32,232",331,$0,100%
381,I.S. 318 Eugenio Maria De Hostos,"$21,205",1191,"$1,287,070",90%
382,I.S. 339,"$29,272",543,$0,100%
383,I.S. 340,"$23,203",204,"$215,500",90%
384,I.S. 347 School of Humanities,"$27,695",306,"$368,297",91%
385,"I.S. 349 Math, Science & Tech.","$26,233",349,$0,100%
386,I.S. 364 Gateway,"$22,527",360,"$430,873",90%
387,I.S. 392,"$22,781",296,"$308,901",90%
388,I.S. 49 Berta A. Dreyfus,"$28,141",517,"$750,668",90%
389,I.S. 5 - The Walter Crowley Intermediate School,"$20,144",1771,"$2,032,087",90%
390,I.S. 528 Bea Fuller Rodgers School,"$25,281",243,$0,100%
391,I.S. 584,"$28,067",265,$0,100%
392,I.S. 73 - The Frank Sansivieri Intermediate School,"$20,289",1906,"$2,219,288",90%
393,I.S. 98 Bay Academy,"$17,012",1527,"$1,435,477",90%
394,I.S. R002 George L. Egbert,"$21,101",1079,"$1,226,134",90%
395,I.S. X303 Leadership & Community Service,"$27,415",300,"$427,506",90%
396,"I.S. X318 Math, Science & Technology Through Arts","$26,794",229,"$317,450",90%
397,In-Tech Academy (M.S. / High School 368),"$21,317",1041,"$1,214,617",90%
398,Independence High School,"$23,568",320,"$461,792",90%
399,Information Technology High School,"$21,079",1013,"$1,175,907",90%
400,Innovation Diploma Plus,"$22,670",188,"$160,585",93%
401,Institute for Collaborative Education,"$16,538",487,"$437,183",90%
402,Institute for Health Professions at Cambria Heights,"$21,925",416,$5,100%
403,International Community High School,"$22,859",430,"$575,086",90%
404,International High School at Lafayette,"$24,011",288,"$395,808",90%
405,International High School at LaGuardia Community College,"$20,594",499,"$622,020",90%
406,International High School at Prospect Heights,"$22,330",391,"$522,159",90%
407,International High School at Union Square,"$22,767",364,"$116,069",98%
408,International High School for Health Sciences,"$22,528",295,$0,100%
409,International School for Liberal Arts,"$24,315",501,"$695,999",90%
410,Inwood Early College for Health and Information Technologies,"$23,922",415,$0,100%
411,Irwin Altman Middle School 172,"$19,967",950,"$1,026,243",90%
412,Isaac Newton Middle School for Math & Science,"$25,918",218,"$296,332",90%
413,It Takes a Village Academy,"$21,326",722,"$518,143",94%
414,J. M. Rapport School Career Development,"$50,825",471,N/A,
415,J.H.S. 008 Richard S. Grossley,"$26,508",352,$0,100%
416,J.H.S. 014 Shell Bank,"$28,375",521,"$679,166",90%
417,J.H.S. 022 Jordan L. Mott,"$29,017",451,$0,100%
418,J.H.S. 050 John D. Wells,"$27,382",324,$0,100%
419,J.H.S. 052 Inwood,"$33,130",217,"$334,952",90%
420,J.H.S. 054 Booker T. Washington,"$18,871",808,"$785,581",90%
421,J.H.S. 057 Whitelaw Reid,"$31,929",164,"$217,520",90%
422,J.H.S. 062 Ditmas,"$21,878",1213,"$1,441,632",90%
423,J.H.S. 067 Louis Pasteur,"$17,538",892,"$776,429",91%
424,J.H.S. 074 Nathaniel Hawthorne,"$19,660",1166,"$736,372",94%
425,J.H.S. 078 Roy H. Mann,"$24,814",551,"$649,469",90%
426,J.H.S. 080 The Mosholu Parkway,"$23,998",727,$0,100%
427,J.H.S. 088 Peter Rouget,"$22,137",1401,"$1,717,885",90%
428,J.H.S. 098 Herman Ridder,"$26,126",284,"$369,311",90%
429,J.H.S. 104 Simon Baruch,"$18,847",1119,"$1,148,488",90%
430,J.H.S. 118 William W. Niles,"$21,928",1130,"$1,344,706",90%
431,J.H.S. 123 James M. Kieran,"$28,935",401,$0,100%
432,J.H.S. 127 The Castle Hill,"$21,975",824,"$977,695",90%
433,J.H.S. 131 Albert Einstein,"$25,564",469,"$639,293",90%
434,J.H.S. 143 Eleanor Roosevelt,"$35,724",224,"$376,915",90%
435,J.H.S. 144 Michelangelo,"$25,780",472,"$594,179",90%
436,J.H.S. 151 Lou Gehrig,"$26,865",256,"$367,087",90%
437,J.H.S. 157 Stephen A. Halsey,"$18,590",1673,"$1,768,257",90%
438,J.H.S. 162 The Willoughby,"$27,310",282,"$373,026",90%
439,J.H.S. 167 Robert F. Wagner,"$18,531",1308,"$1,344,084",90%
440,J.H.S. 185 Edward Bleeker,"$19,325",1489,"$1,626,017",90%
441,J.H.S. 189 Daniel Carter Beard,"$20,754",783,"$903,013",90%
442,J.H.S. 190 Russell Sage,"$18,302",1102,"$1,162,481",90%
443,J.H.S. 194 William Carr,"$18,664",1260,"$1,359,906",90%
444,J.H.S. 201 The Dyker Heights,"$18,919",1597,"$1,660,790",90%
445,J.H.S. 202 Robert H. Goddard,"$19,515",1105,"$1,205,864",90%
446,J.H.S. 210 Elizabeth Blackwell,"$20,151",1888,"$2,138,084",90%
447,J.H.S. 216 George J. Ryan,"$17,994",1498,"$1,537,877",90%
448,J.H.S. 217 Robert A. Van Wyck,"$19,924",1644,"$1,905,800",90%
449,J.H.S. 218 James P. Sinnott,"$24,647",470,"$615,516",90%
450,J.H.S. 220 John J. Pershing,"$20,681",1517,"$1,848,607",90%
451,J.H.S. 223 The Montauk,"$22,217",882,"$738,728",93%
452,J.H.S. 226 Virgil I. Grissom,"$21,092",864,"$992,217",90%
453,J.H.S. 227 Edward B. Shallow,"$20,199",1634,"$1,887,264",90%
454,J.H.S. 234 Arthur W. Cunningham,"$20,078",1772,"$1,926,446",90%
455,J.H.S. 259 William McKinley,"$18,505",1943,"$2,007,023",90%
456,J.H.S. 278 Marine Park,"$22,891",1215,"$1,248,456",90%
457,J.H.S. 291 Roland Hayes,"$29,670",280,$0,100%
458,J.H.S. 292 Margaret S. Douglas,"$24,487",544,"$691,367",90%
459,J.H.S. 383 Philippa Schuyler,"$20,850",812,"$609,856",93%
460,Jacqueline Kennedy Onassis High School,"$21,872",479,"$560,868",90%
461,Jamaica Children's School,"$23,368",200,$2,100%
462,Jamaica Gateway to the Sciences,"$19,578",498,"$78,308",99%
463,"James Baldwin School, The: A School for Expeditionary Learning","$24,582",252,"$393,778",90%
464,James Madison High School,"$18,613",3878,"$4,074,426",90%
465,James Weldon Johnson,"$22,814",754,"$893,739",90%
466,Jean Nuzzi Intermediate School,"$19,140",1159,"$1,225,020",90%
467,Jill Chaifetz Transfer High School,"$24,792",216,$0,100%
468,John Adams High School,"$22,668",2264,$0,100%
469,John Adams YABC,"$14,114",165,N/A,
470,John Bowne High School,"$19,523",3579,"$3,999,395",90%
471,John Dewey High School,"$20,804",2223,"$2,456,915",90%
472,John Ericsson Middle School 126,"$28,589",379,$0,100%
473,John F. Kennedy Jr. School,"$68,943",505,N/A,
474,John Jay School for Law,"$20,003",452,"$487,326",90%
475,Jonas Bronck Academy,"$23,586",267,$0,105%
476,Juan Morel Campos Secondary School,"$33,641",491,$0,100%
477,KAPPA,"$23,096",359,"$440,886",90%
478,KAPPA III,"$21,449",387,"$482,806",90%
479,KAPPA V (Knowledge and Power Preparatory Academy),"$26,417",218,"$269,961",90%
480,Kennedy YABC,"$16,447",128,N/A,
481,Khalil Gibran International Academy,"$23,707",276,"$9,678",100%
482,Kingsborough Early College School,"$19,740",637,"$677,130",90%
483,Kingsbridge International High School,"$22,522",477,"$631,377",90%
484,47 The American Sign Language and English Secondary School,"$29,476",199,N/A,
485,Knowledge and Power Preparatory Academy VI,"$20,200",268,"$298,411",90%
486,Kurt Hahn Expeditionary Learning School,"$23,025",350,"$319,880",93%
487,Lafayette Academy,"$30,435",135,"$163,445",90%
488,Landmark High School,"$22,580",326,"$403,686",90%
489,Leaders of Tomorrow,"$28,420",414,$0,100%
490,Leadership and Public Service High School,"$21,290",464,"$516,122",90%
491,Learners and Leaders,"$24,334",576,"$334,917",95%
492,Learning to Work YABC at Monroe,"$15,131",146,N/A,
493,Leon M. Goldstein High School for the Sciences,"$19,331",999,"$342,230",97%
494,Liberation Diploma Plus,"$24,290",208,"$317,747",90%
495,Liberty Avenue Middle School,"$22,104",498,$0,100%
496,Liberty High School Academy for Newcomers,"$24,604",400,"$593,452",90%
497,Life Academy High School for Film and Music,"$21,579",305,"$227,420",94%
498,Life Sciences Secondary School,"$21,724",478,"$581,740",90%
499,Lighthouse Elementary School,"$27,907",191,"$227,620",90%
500,Linden Tree Elementary School,"$23,601",367,$0,100%
501,Long Island City High School,"$22,694",2377,$0,100%
502,Longwood Preparatory Academy,"$31,560",333,$0,100%
503,Lower East Side Preparatory High School,"$22,872",550,"$799,455",90%
504,Lower Manhattan Arts Academy,"$25,875",304,"$410,682",90%
505,Lower Manhattan Community Middle School,"$22,077",383,"$457,321",90%
506,Lucero Elementary School,"$24,037",398,$0,100%
507,Luisa Pineiro Fuentes School of Science and Discovery,"$25,302",359,"$407,864",90%
508,Lyons Community School,"$24,607",424,"$548,025",90%
509,M.S. 035 Stephen Decatur,"$25,742",247,"$288,008",91%
510,M.S. 053 Brian Piccolo,"$33,167",226,$0,100%
511,M.S. 061 Dr. Gladstone H. Atwell,"$25,128",592,"$688,635",90%
512,M.S. 113 Ronald Edmonds Learning Center,"$26,421",335,"$415,930",90%
513,M.S. 129 Academy for Independent Learning and Leadership,"$24,121",534,"$688,229",90%
514,M.S. 131,"$26,309",438,"$555,214",90%
515,M.S. 137 America's School of Heroes,"$19,643",1866,"$2,081,278",90%
516,M.S. 158 Marie Curie,"$18,826",1013,"$1,027,518",90%
517,M.S. 180 Dr. Daniel Hale Williams,"$22,482",1034,$0,102%
518,M.S. 224 Manhattan East School for Arts & Academics,"$26,460",176,"$208,739",90%
519,M.S. 243 Center School,"$19,660",233,"$30,736",99%
520,M.S. 246 Walt Whitman,"$26,208",416,"$547,457",90%
521,M.S. 250 West Side Collaborative Middle School,"$26,989",165,"$175,503",92%
522,M.S. 255 Salk School of Science,"$18,988",382,"$397,103",90%
523,M.S. 260 Clinton School Writers & Artists,"$18,360",729,"$351,340",95%
524,"M.S. 267 Math, Science & Technology","$26,053",269,"$245,956",93%
525,M.S. 297,"$19,276",484,$0,100%
526,M.S. 301 Paul L. Dunbar,"$28,985",249,$0,100%
527,M.S. 302 Luisa Dessus Cruz,"$25,866",499,"$681,648",90%
528,M.S. 319 - Maria Teresa,"$26,848",415,"$572,581",90%
529,M.S. 324 - Patria Mirabal,"$27,364",362,"$521,305",90%
530,M.S. 358,"$21,225",365,$4,100%
531,M.S. 379,"$22,076",150,$0,100%
532,M.S. 390,"$25,292",556,"$745,861",90%
533,M.S. 442 Carroll Gardens School for Innovation,"$30,743",257,"$310,331",90%
534,M.S. 51 William Alexander,"$19,196",1132,"$1,236,371",90%
535,M.S. 582,"$27,423",248,"$329,229",90%
536,M.S. 593,"$35,960",50,$0,100%
537,M.S. 594,"$23,925",256,$0,100%
538,M.S. 839,"$22,736",327,$4,100%
539,M.S. 890,"$21,339",208,$0,100%
540,M.S. 898,"$23,636",90,$0,100%
541,M.S. 907,"$23,643",90,$0,100%
542,M.S. K266 - Park Place Community Middle School,"$29,239",151,"$211,895",90%
543,M.S. K394,"$23,686",387,"$385,498",90%
544,M.S. M245 The Computer School,"$20,248",400,"$443,773",90%
545,M.S. M247 Dual Language Middle School,"$24,069",193,"$265,522",90%
546,M.S. X101 Edward R. Byrne,"$21,428",563,"$163,417",97%
547,Madiba Prep Middle School,"$30,016",151,$0,100%
548,"Magnet School of Math, Science and Design Technology","$24,077",971,"$1,001,972",90%
549,Manhattan / Hunter Science High School,"$18,552",438,$0,108%
550,Manhattan Academy for Arts & Language,"$25,564",234,"$75,212",98%
551,Manhattan Bridges High School,"$20,234",507,"$590,432",90%
552,Manhattan Business Academy,"$22,314",420,"$172,339",96%
553,Manhattan Center for Science and Mathematics,"$18,043",1653,"$1,720,681",90%
554,Manhattan Comprehensive Night and Day High School,"$22,378",708,"$985,888",90%
555,Manhattan Early College School for Advertising,"$21,771",418,$0,100%
556,Manhattan International High School,"$21,984",325,"$414,369",90%
557,Manhattan School for Career Development,"$80,779",161,N/A,
558,Manhattan Village Academy,"$18,878",443,"$423,499",91%
559,Marble Hill High School for International Studies,"$21,677",438,"$499,298",90%
560,Mark Twain I.S. 239 for the Gifted & Talented,"$18,072",1325,"$1,046,026",92%
561,Marsh Avenue School for Expeditionary Learning,"$20,870",448,"$382,478",93%
562,Marta Valle High School,"$33,702",110,"$157,730",90%
563,Martin Van Buren High School,"$22,884",1085,$0,100%
564,Maspeth High School,"$17,564",1195,"$77,237",99%
565,"Mathematics, Science Research and Technology Magnet High School","$22,329",371,$0,102%
566,Medgar Evers College Preparatory School,"$16,726",1313,"$1,159,627",90%
567,Metropolitan Diploma Plus High School,"$27,071",212,"$348,655",90%
568,Metropolitan Expeditionary Learning School,"$20,254",837,"$118,767",99%
569,"Metropolitan High School, The","$28,123",368,$0,100%
570,Middle College High School at LaGuardia Community College,"$19,980",503,"$488,397",90%
571,Middle School 322,"$27,157",422,"$502,987",92%
572,Middle School for Art and Philosophy,"$28,017",176,"$236,329",90%
573,Midwood High School,"$17,602",4120,"$4,068,313",90%
574,Millennium Art Academy,"$27,165",418,"$492,060",90%
575,Millennium Brooklyn HS,"$24,433",675,"$72,565",99%
576,Millennium High School,"$17,341",651,"$332,551",95%
577,Milton Fein School,"$20,605",706,"$690,427",90%
578,Morris Academy for Collaborative Studies,"$25,577",397,$0,100%
579,Mosaic Preparatory Academy,"$28,321",275,"$309,300",91%
580,Mott Hall Bridges Academy,"$26,432",182,$0,101%
